TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7928000000.0	245420751.4	232633413.7	249913497.4
7929000000.0	245425804.8	232637482.2	249919240.9
7930000000.0	245430857.2	232641549.9	249924983.3
7931000000.0	245435908.6	232645616.7	249930724.8
7932000000.0	245440959.1	232649682.8	249936465.2
7933000000.0	245446008.6	232653748.0	249942204.7
7934000000.0	245451057.2	232657812.4	249947943.1
7935000000.0	245456104.7	232661875.9	249953680.5
7936000000.0	245461151.4	232665938.7	249959416.9
7937000000.0	245466197.0	232670000.6	249965152.3
7938000000.0	245471241.7	232674061.7	249970886.7
7939000000.0	245476285.5	232678122.0	249976620.0
7940000000.0	245481328.3	232682181.5	249982352.4
7941000000.0	245486370.1	232686240.1	249988083.7
7942000000.0	245491410.9	232690297.9	249993814.1
7943000000.0	245496450.8	232694354.9	249999543.4
7944000000.0	245501489.8	232698411.1	250005271.8
7945000000.0	245506527.8	232702466.5	250010999.1
7946000000.0	245511564.8	232706521.1	250016725.4
7947000000.0	245516600.9	232710574.8	250022450.7
7948000000.0	245521636.0	232714627.7	250028175.0
7949000000.0	245526670.1	232718679.8	250033898.3
7950000000.0	245531703.3	232722731.1	250039620.6
7951000000.0	245536735.6	232726781.6	250045341.9
7952000000.0	245541766.9	232730831.2	250051062.2
7953000000.0	245546797.2	232734880.1	250056781.5
7954000000.0	245551826.5	232738928.1	250062499.7
7955000000.0	245556855.0	232742975.3	250068217.0
7956000000.0	245561882.4	232747021.7	250073933.3
7957000000.0	245566908.9	232751067.3	250079648.5
7958000000.0	245571934.5	232755112.0	250085362.8
7959000000.0	245576959.0	232759156.0	250091076.0
7960000000.0	245581982.7	232763199.1	250096788.3
7961000000.0	245587005.4	232767241.4	250102499.5
7962000000.0	245592027.1	232771282.9	250108209.8
7963000000.0	245597047.9	232775323.6	250113919.0
7964000000.0	245602067.7	232779363.5	250119627.2
7965000000.0	245607086.5	232783402.5	250125334.5
7966000000.0	245612104.5	232787440.8	250131040.7
7967000000.0	245617121.4	232791478.2	250136745.9
7968000000.0	245622137.4	232795514.9	250142450.2
7969000000.0	245627152.5	232799550.7	250148153.4
7970000000.0	245632166.6	232803585.7	250153855.6
7971000000.0	245637179.7	232807619.9	250159556.9
7972000000.0	245642191.9	232811653.2	250165257.1
7973000000.0	245647203.2	232815685.8	250170956.3
7974000000.0	245652213.5	232819717.5	250176654.6
7975000000.0	245657222.8	232823748.5	250182351.8
7976000000.0	245662231.2	232827778.6	250188048.0
7977000000.0	245667238.7	232831807.9	250193743.3
7978000000.0	245672245.2	232835836.4	250199437.5
7979000000.0	245677250.7	232839864.2	250205130.8
7980000000.0	245682255.3	232843891.0	250210823.0
7981000000.0	245687259.0	232847917.1	250216514.2
7982000000.0	245692261.7	232851942.4	250222204.5
